sample_id,label,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,data_origin,category,effective_distill_weight,soft_target_p1,soft_target_p0,beta
ViSmish_00000,0,0,0.99933076,True,1.0,real,Viễn thông,1.0,0.005045052999999999,0.994954947,0.19999999999999996
ViSmish_00001,0,0,0.99947876,True,1.0,real,Khác,1.0,0.0044654425999999985,0.9955345574,0.19999999999999996
ViSmish_00003,1,1,0.99962234,True,1.0,paraphrased,Dịch vụ công giả,1.0,0.9961870079999999,0.0038129920000000705,0.19999999999999996
ViSmish_00004,1,1,0.99962246,True,1.0,paraphrased,Giả mạo ngân hàng,1.0,0.9961873,0.003812700000000002,0.19999999999999996
ViSmish_00005,0,0,0.99931204,True,1.0,real,Viễn thông,1.0,0.005113377799999998,0.9948866222,0.19999999999999996
ViSmish_00006,1,1,0.9996232,True,1.0,paraphrased,BHXH / Trợ cấp giả,1.0,0.99619081,0.003809190000000018,0.19999999999999996
ViSmish_00007,0,0,0.9994764,True,1.0,synthetic,Tin nhắn cá nhân và OTP,1.0,0.004475266799999999,0.9955247332,0.19999999999999996
ViSmish_00008,0,0,0.9994543,True,1.0,real,Viễn thông,1.0,0.0045663632,0.9954336368,0.19999999999999996
ViSmish_00009,1,1,0.99959344,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.99604592,0.003954079999999971,0.19999999999999996
ViSmish_00010,1,1,0.9994766,True,1.0,synthetic_hard_positive,Giả mạo ngân hàng,1.0,0.99552566,0.004474340000000021,0.19999999999999996
ViSmish_00013,1,1,0.9995912,True,1.0,paraphrased,Crypto / Đầu tư giả,1.0,0.996035528,0.003964472000000052,0.19999999999999996
ViSmish_00014,0,0,0.9993444,True,1.0,real,Dịch vụ công thật,1.0,0.004994663599999999,0.9950053364,0.19999999999999996
ViSmish_00015,1,1,0.9995932,True,1.0,paraphrased,Cờ bạc / Betting,1.0,0.99604476,0.0039552400000000265,0.19999999999999996
ViSmish_00016,1,1,0.99962044,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.996177232,0.003822768000000032,0.19999999999999996
ViSmish_00017,0,0,0.9994825,True,1.0,synthetic,Vận chuyển,1.0,0.004449311999999999,0.995550688,0.19999999999999996
ViSmish_00018,0,0,0.99933857,True,1.0,external_curated,P2P hard negative,1.0,0.0050163811999999995,0.9949836188,0.19999999999999996
ViSmish_00019,1,1,0.99962485,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.99619919,0.003800809999999988,0.19999999999999996
ViSmish_00021,0,0,0.9993368,True,1.0,real,Viễn thông,1.0,0.005022622999999999,0.994977377,0.19999999999999996
ViSmish_00024,1,1,0.9996247,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.9961985,0.003801500000000013,0.19999999999999996
ViSmish_00025,0,0,0.99945456,True,1.0,external_real,P2P hội thoại thông thường,1.0,0.004565590599999999,0.9954344094,0.19999999999999996
ViSmish_00028,1,1,0.9996213,True,1.0,paraphrased,Giả mạo ngân hàng,1.0,0.99618126,0.0038187400000000427,0.19999999999999996
ViSmish_00029,0,0,0.99946016,True,1.0,real,Ngân hàng thật,1.0,0.0045424025999999985,0.9954575974,0.19999999999999996
ViSmish_00030,1,1,0.9996158,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.9961542720000001,0.003845727999999937,0.19999999999999996
ViSmish_00032,1,1,0.9995814,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.99598944,0.004010559999999996,0.19999999999999996
