content,label,data_origin
Công ty RTech tuyển gấp nhân viên cộng tác viên online làm việc tại nhà. Lương thưởng 1 triệu - 2 triệu/ngày. Độ tuổi từ 20-60. Hãy liên hệ ngay qua Zalo: zalo.me/84912345678 hoặc gọi 84912345678.,1,paraphrased
"[TB] Thành phố khuyến nghị cơ quan, tổ chức khẩn trương thực hiện việc đăng ký tài khoản định danh điện tử cho đơn vị để sớm hưởng những tiện ích, kết nối được với các thông tin hữu ích của định danh điện tử đem lại.",0,real
Cam ơn em .Chi khoe chi đi ban tư hm 1thang 11 đên giơ rôi em ah,0,real
"Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI hoac https://momo.vn/qua-cua-toi dung ngay!",0,real
"[BẮT BUỘC PHẢI TRẢ NGAY]: Ông Lê Hoàng Nam (CCCD: 001092003847) đã vi phạm nghĩa vụ tài chính với Mirae Asset khoản tiền 52.300.000 VND. Quá thời hạn 12 tiếng nữa, vụ việc sẽ được chuyển giao cho Cục Cảnh sát điều tra tài chính xử lý triệt để. Liên hệ ngay: 0976543210.",1,paraphrased
BachhoaXANH - Ma OTP cua ban la 565933. Ma co hieu luc trong vong 1 phut. Vui long khong chia se ma nay voi nguoi khac.,0,real
[TB] SẮM DATA CHO CHUYẾN ĐI XA! 1. Soạn ST7K gửi 191: 7K có 1GB 2. Soạn 5G10 gửi 191: 10K có 6GB Ưu đãi sử dụng đến 24h ngày đăng ký. Các gói cước gia hạn theo ngày. Chi tiết LH 198 (0đ).,0,real
OTP cua Quy Khach la: 81608026. Ma xac thuc giao dich tren vi co hieu luc trong vong 2 phut. QK TUYET DOI khong cung cap OTP cho nguoi khac tranh bi lua dao!,0,real
"Bạn đã được lựa chọn nhận hỗ trợ theo Quyết định 1526/QĐ-BHXH mới nhất. Truy cập ngay mzxascc.com để kích hoạt. CHÚ Ý: Đợt này kết thúc sớm, không để lỡ cơ hội!",1,paraphrased
"Ps  nhan luon 588k vao vi khi cai app va dang ky, Mong ban dai thang drwhcP.GeqrE.me fr",1,real
"[QC] NẠP THẺ LIỀN TAY, NHẬN NGAY QUÀ KHỦNG 1.Thẻ mệnh giá dưới 50.000đ, tặng 6GB/3 ngày: 3GB trên các hạ tầng (ST15K)+3GB trên 4G 2.Thẻ mệnh giá từ 50.000đ trở lên, tặng 14GB/7 ngày: 7GB trên các hạ tầng (ST30K)+7GB trên 4G CT áp dụng với THẺ NẠP ĐẦU TIÊN trong ngày 15/03 cho TB của Quý khách. LH 198 (0đ). Từ chối QC, soạn TC1 gửi 199",0,real
