epoch,train_loss,dev_macro_f1,dev_f1_label_1,dev_recall_label_1
1,0.24078146661321323,0.8456327887772908,0.7123287671232876,0.7027027027027027
2,0.10404829214016596,0.8658106897581368,0.7529411764705882,0.8648648648648649
3,0.07622690538565317,0.8965045163018408,0.8059701492537313,0.7297297297297297
4,0.06522202243407567,0.8771526980482205,0.7692307692307693,0.6756756756756757
5,0.06117045685648918,0.9106546426185704,0.8333333333333334,0.8108108108108109
6,0.056729042083024976,0.9170297057621002,0.8450704225352113,0.8108108108108109
7,0.051083125521739325,0.9057766819302571,0.8235294117647058,0.7567567567567568
8,0.051400612344344454,0.92303265717163,0.8571428571428571,0.8918918918918919
9,0.04594484195113182,0.9191409845976285,0.8493150684931506,0.8378378378378378
10,0.046768445918957395,0.8965045163018408,0.8059701492537313,0.7297297297297297
11,0.04616176351904869,0.9211390284757119,0.8533333333333334,0.8648648648648649
