epoch,train_loss,val_macro_f1,val_f1_label_1,val_recall_label_1
1,0.2732511416339038,0.974477279183273,0.9720670391061452,0.9720670391061452
2,0.11761617477525745,0.9778352812639266,0.975517890772128,0.9646182495344506
3,0.08231564794193234,0.97867622892165,0.9763928234183191,0.962756052141527
4,0.07712075212284138,0.9846763426504156,0.983177570093458,0.9795158286778398
5,0.06694497821623818,0.985530056244891,0.9841269841269841,0.9813780260707635
6,0.06020424312405419,0.9880815998392121,0.9869158878504672,0.9832402234636871
7,0.05975839783225143,0.9855203294947341,0.9840674789128397,0.9776536312849162
8,0.054662236257603296,0.988089396952194,0.9869646182495344,0.9869646182495344
9,0.05239587767343772,0.9855153363434881,0.984037558685446,0.9757914338919925
10,0.05075632480152866,0.9880693706743924,0.9868421052631579,0.9776536312849162
11,0.046796784066317376,0.9897876004592423,0.9888059701492538,0.9869646182495344
12,0.04537187686614823,0.9880775947243858,0.9868913857677902,0.9813780260707635
