epoch,train_loss,dev_macro_f1,dev_f1_label_1,dev_recall_label_1
1,0.22614790429671605,0.8471428571428572,0.7142857142857143,0.6756756756756757
2,0.07761642324427763,0.8686287578489493,0.7586206896551724,0.8918918918918919
3,0.04732372419287761,0.852231555346147,0.7213114754098361,0.5945945945945946
4,0.03465667526237667,0.9031148134733793,0.8181818181818182,0.7297297297297297
5,0.032111220508813855,0.8607730577879832,0.7384615384615385,0.6486486486486487
6,0.025212076526756087,0.8836667495029822,0.78125,0.6756756756756757
7,0.018512030929947892,0.9235714285714285,0.8571428571428571,0.8108108108108109
8,0.01936900758805374,0.933842623761696,0.8767123287671232,0.8648648648648649
9,0.011756839307102685,0.9170297057621002,0.8450704225352113,0.8108108108108109
10,0.013614780803521475,0.9170285359801489,0.8461538461538461,0.8918918918918919
11,0.01247172022315984,0.918939393939394,0.85,0.918918918918919
