model_group,model_name,run_name,split,rows,accuracy,macro_f1,weighted_f1,precision_label_1,recall_label_1,f1_label_1,precision_label_0,recall_label_0,f1_label_0,roc_auc,pr_auc,tn,fp,fn,tp,architecture,mode,teacher,seed,alpha,fn_distill_weight,study_mode,study_seed
char_neural,TextCNN,char_textcnn_hard_seed_42,train,9492,0.9996839443742098,0.9996814316646252,0.9996839473548856,0.9998064640990904,0.9996130030959752,0.9997097242380262,0.9995375722543351,0.9997687326549493,0.9996531390912244,0.9999994630015208,0.9999995503084222,4323,1,2,5166,textcnn,hard,,42,,,hard,42
char_neural,TextCNN,char_textcnn_hard_seed_42,dev,535,0.9794392523364486,0.9170297057621002,0.9790357423370454,0.8823529411764706,0.8108108108108109,0.8450704225352113,0.9860279441117764,0.9919678714859438,0.988988988988989,0.9745468359926192,0.8528759780676398,494,4,7,30,textcnn,hard,,42,,,hard,42
char_neural,TextCNN,char_textcnn_hard_seed_42,test,535,0.977570093457944,0.9128948225333768,0.977570093457944,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.8852405462270243,492,6,6,31,textcnn,hard,,42,,,hard,42
char_neural,TextCNN,char_textcnn_hard_seed_123,train,9492,0.9993678887484198,0.999362923232876,0.9993679243010372,1.0,0.9988390092879256,0.9994191674733786,0.9986143187066976,1.0,0.9993066789923736,0.9999997762506336,0.9999998128496654,4324,0,6,5162,textcnn,hard,,123,,,hard,123
char_neural,TextCNN,char_textcnn_hard_seed_123,dev,535,0.983177570093458,0.933842623761696,0.9830707844953374,0.8888888888888888,0.8648648648648649,0.8767123287671232,0.9899799599198396,0.9919678714859438,0.9909729187562688,0.9894713991099534,0.91811818672335,494,4,5,32,textcnn,hard,,123,,,hard,123
char_neural,TextCNN,char_textcnn_hard_seed_123,test,535,0.9700934579439252,0.8808728568247606,0.9697080557792636,0.8,0.7567567567567568,0.7777777777777778,0.982,0.9859437751004017,0.9839679358717436,0.9808422880712038,0.8703783370016546,491,7,9,28,textcnn,hard,,123,,,hard,123
char_neural,TextCNN,char_textcnn_hard_seed_2025,train,9492,0.9988411293721028,0.9988319601138296,0.9988411620805152,0.9992255566311712,0.9986455108359134,0.99893544953063,0.9983822509822048,0.9990749306197964,0.9987284706970292,0.9999969570086178,0.9999974559806352,4320,4,7,5161,textcnn,hard,,2025,,,hard,2025
char_neural,TextCNN,char_textcnn_hard_seed_2025,dev,535,0.977570093457944,0.9128948225333768,0.977570093457944,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9791598827743406,0.8606510012451405,492,6,6,31,textcnn,hard,,2025,,,hard,2025
char_neural,TextCNN,char_textcnn_hard_seed_2025,test,535,0.966355140186916,0.8755428039702233,0.9671499965214164,0.7317073170731707,0.8108108108108109,0.7692307692307693,0.98582995951417,0.9779116465863452,0.9818548387096774,0.986323673070661,0.8562071396481703,487,11,7,30,textcnn,hard,,2025,,,hard,2025
char_neural,TEXTCNN vanilla KD fr PhoBERT-base,char_textcnn_vanilla_kd_seed_42,train,9492,0.9984197218710492,0.9984073379237304,0.9984198254405012,0.9992249564037976,0.9978715170278638,0.9985477781004938,0.997460170861233,0.9990749306197964,0.9982668977469672,0.999973642324645,0.999978512181692,4320,4,11,5157,textcnn,vanilla_kd,PhoBERT-base,42,0.8,,vanilla_kd,42
char_neural,TEXTCNN vanilla KD fr PhoBERT-base,char_textcnn_vanilla_kd_seed_42,dev,535,0.9757009345794392,0.9019441977188456,0.9752240591255992,0.8529411764705882,0.7837837837837838,0.8169014084507042,0.9840319361277444,0.9899598393574296,0.986986986986987,0.9741669380223597,0.8507920858955174,493,5,8,29,textcnn,vanilla_kd,PhoBERT-base,42,0.8,,vanilla_kd,42
char_neural,TEXTCNN vanilla KD fr PhoBERT-base,char_textcnn_vanilla_kd_seed_42,test,535,0.966355140186916,0.8755428039702233,0.9671499965214164,0.7317073170731707,0.8108108108108109,0.7692307692307693,0.98582995951417,0.9779116465863452,0.9818548387096774,0.9833930315858026,0.8580045812015935,487,11,7,30,textcnn,vanilla_kd,PhoBERT-base,42,0.8,,vanilla_kd,42
char_neural,TEXTCNN vanilla KD fr PhoBERT-base,char_textcnn_vanilla_kd_seed_123,train,9492,0.9994732406236831,0.9994690727790134,0.9994732554911432,0.9998063891577929,0.9992260061919505,0.9995161134230136,0.9990755719898312,0.9997687326549493,0.9994220321350132,0.9999985680040554,0.9999988036166458,4323,1,4,5164,textcnn,vanilla_kd,PhoBERT-base,123,0.8,,vanilla_kd,123
char_neural,TEXTCNN vanilla KD fr PhoBERT-base,char_textcnn_vanilla_kd_seed_123,dev,535,0.9794392523364486,0.92303265717163,0.9798087278506286,0.825,0.8918918918918919,0.8571428571428571,0.991919191919192,0.9859437751004017,0.9889224572004028,0.9901769239118636,0.9084353605344052,491,7,4,33,textcnn,vanilla_kd,PhoBERT-base,123,0.8,,vanilla_kd,123
char_neural,TEXTCNN vanilla KD fr PhoBERT-base,char_textcnn_vanilla_kd_seed_123,test,535,0.966355140186916,0.8755428039702233,0.9671499965214164,0.7317073170731707,0.8108108108108109,0.7692307692307693,0.98582995951417,0.9779116465863452,0.9818548387096774,0.984315640942147,0.8966456549246209,487,11,7,30,textcnn,vanilla_kd,PhoBERT-base,123,0.8,,vanilla_kd,123
