split,study_mode,metric,mean,std,min,max
dev,hard,f1_label_1,0.8532068630467241,0.02067505161785126,0.8378378378378378,0.8767123287671232
dev,hard,macro_f1,0.9212557173523911,0.01109490759520993,0.9128948225333768,0.933842623761696
dev,hard,pr_auc,0.8772150553453768,0.035635829774897515,0.8528759780676398,0.91811818672335
dev,hard,recall_label_1,0.8378378378378378,0.027027027027027,0.8108108108108109,0.8648648648648649
dev,risk_aware_kd,f1_label_1,0.8514293514293514,0.02753447636226294,0.8333333333333334,0.8831168831168831
dev,risk_aware_kd,macro_f1,0.9201920615520027,0.014622205127297675,0.9106546426185704,0.9370267195040608
dev,risk_aware_kd,pr_auc,0.8896089642372057,0.013450021948585121,0.8818065297843553,0.905139652770365
dev,risk_aware_kd,recall_label_1,0.8558558558558559,0.056261243228814414,0.8108108108108109,0.918918918918919
dev,vanilla_kd,f1_label_1,0.841119778028904,0.021335783031232375,0.8169014084507042,0.8571428571428571
dev,vanilla_kd,macro_f1,0.9147059464960346,0.011221985240806238,0.9019441977188456,0.92303265717163
dev,vanilla_kd,pr_auc,0.8710108235348485,0.03244559178828175,0.8507920858955174,0.9084353605344052
dev,vanilla_kd,recall_label_1,0.8378378378378378,0.05405405405405406,0.7837837837837838,0.8918918918918919
test,hard,f1_label_1,0.794948794948795,0.03738803737466409,0.7692307692307693,0.8378378378378378
test,hard,macro_f1,0.8897701611094536,0.020203089871016114,0.8755428039702233,0.9128948225333768
test,hard,pr_auc,0.8706086742922831,0.014518073764926616,0.8562071396481703,0.8852405462270243
test,hard,recall_label_1,0.8018018018018017,0.041284465720322884,0.7567567567567568,0.8378378378378378
test,risk_aware_kd,f1_label_1,0.8276157260621434,0.03319772828040679,0.7894736842105263,0.85
test,risk_aware_kd,macro_f1,0.9069096934418622,0.01761686605459727,0.8866885523668326,0.918939393939394
test,risk_aware_kd,pr_auc,0.879143084591702,0.028747691243911636,0.8512006067497315,0.9086334472280752
test,risk_aware_kd,recall_label_1,0.891891891891892,0.07150679219093486,0.8108108108108109,0.945945945945946
test,vanilla_kd,f1_label_1,0.7725607725607726,0.005767734956939315,0.7692307692307693,0.7792207792207793
test,vanilla_kd,macro_f1,0.877378692704928,0.003179852565551773,0.8755428039702233,0.8810504701743372
test,vanilla_kd,pr_auc,0.8789346885260843,0.019520637690479643,0.8580045812015935,0.8966456549246209
test,vanilla_kd,recall_label_1,0.8108108108108109,0.0,0.8108108108108109,0.8108108108108109
train,hard,f1_label_1,0.9993547804140116,0.00039113245926262905,0.99893544953063,0.9997097242380262
train,hard,macro_f1,0.9992921050037769,0.0004291408802273912,0.9988319601138296,0.9996814316646252
train,hard,pr_auc,0.9999989397129077,1.2916377465730332e-06,0.9999974559806352,0.9999998128496654
train,hard,recall_label_1,0.9990325077399381,0.0005119487831007918,0.9986455108359134,0.9996130030959752
train,risk_aware_kd,f1_label_1,0.9992578781656185,0.0006149646956269847,0.9985477781004938,0.9996129281981808
train,risk_aware_kd,macro_f1,0.9991859461254154,0.0006742944822542057,0.9984073379237304,0.999575250226258
train,risk_aware_kd,pr_auc,0.9999944084738802,8.179509168541116e-06,0.9999849815308016,0.9999996258584916
train,risk_aware_kd,recall_label_1,0.9989035087719298,0.0008937310668569521,0.9978715170278638,0.9994195046439628
train,vanilla_kd,f1_label_1,0.9989026968775175,0.0005334174223239894,0.9985477781004938,0.9995161134230136
train,vanilla_kd,macro_f1,0.998796669816255,0.0005847368201448295,0.9984073379237304,0.9994690727790134
train,vanilla_kd,pr_auc,0.9999905842937239,1.0680288903645216e-05,0.999978512181692,0.9999988036166458
train,vanilla_kd,recall_label_1,0.9982585139318886,0.0008434401980535424,0.9976780185758514,0.9992260061919505
