epoch,train_loss,dev_macro_f1,dev_f1_label_1,dev_recall_label_1
1,0.24056500166654587,0.8510910710309507,0.7222222222222222,0.7027027027027027
2,0.10320098881920178,0.8637983706720977,0.75,0.8918918918918919
3,0.07600140646100044,0.8965045163018408,0.8059701492537313,0.7297297297297297
4,0.06485045885046323,0.8836667495029822,0.78125,0.6756756756756757
5,0.06090880701939265,0.8993035949557688,0.8115942028985508,0.7567567567567568
6,0.05597742795944214,0.9235714285714285,0.8571428571428571,0.8108108108108109
7,0.051369529714186984,0.9147953495779583,0.8405797101449275,0.7837837837837838
8,0.04986854180693626,0.9370267195040609,0.8831168831168831,0.918918918918919
9,0.04527691394090652,0.9128948225333767,0.8378378378378378,0.8378378378378378
10,0.04553797672192256,0.9214805682752143,0.8529411764705882,0.7837837837837838
11,0.0451934518913428,0.9354773869346733,0.88,0.8918918918918919
