epoch,train_loss,val_macro_f1,val_f1_label_1,val_recall_label_1
1,0.2962866417531456,0.6794930875576037,0.44285714285714284,0.8378378378378378
2,0.11896154111517328,0.7778064631997217,0.5934065934065934,0.7297297297297297
3,0.09125248775152224,0.7162878787878788,0.4909090909090909,0.7297297297297297
4,0.07422650984621473,0.8154913206197549,0.6582278481012658,0.7027027027027027
5,0.06859453401661345,0.7973484848484849,0.625,0.6756756756756757
6,0.0612627802017544,0.7970860961797517,0.6233766233766234,0.6486486486486487
7,0.06005414415683065,0.8324966261808368,0.6947368421052632,0.8918918918918919
8,0.05391309716339622,0.8416021655458275,0.704225352112676,0.6756756756756757
9,0.04555955762043595,0.8154913206197549,0.6582278481012658,0.7027027027027027
10,0.047082409262657166,0.8185825703628349,0.6666666666666666,0.7837837837837838
11,0.04325841027977211,0.8236715860402095,0.6746987951807228,0.7567567567567568
