row_index,category,level,leet_token_ratio_before,leet_token_ratio_after,content_before,content_after
120,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5,0.3333,[BIDV] Tai kh04n ban da bi t4m kh04. Vu1 l0ng dang nh4p bidv-online.vip de x4c thuc truoc 2h00.,[BIDV] Tai kh04n ban da bi t4m khoa. Vu1 l0ng dang nhap bidv-online.vip de xac thuc truoc 2h00.
272,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4375,0.375,Bo GTVT x1n thong b4o: Ban chư4 h04n t4t x4c thuc vneid. VAO vnta-gov.cc de lam.,Bo GTVT x1n thong b4o: Ban chư4 hoan t4t x4c thuc vneid. VAO vnta-gov.cc de lam.
279,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5,0.2857,Bo GTVT: Bam vao dichvucongs.top de n0p f4t v1 pham g140 thong trư0c 24h.,Bo GTVT: Bam vao dichvucongs.top de n0p phat vi pham giao thong trư0c 24h.
293,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5385,0.3077,[BỘ GTVT]: Thong b40 cu01 cung v3 h04n thu3 TNCN. Link nh4n: hoanthue-tncn.vip.,[BỘ GTVT]: Thong b40 cuoi cung v3 hoan thue TNCN. Link nh4n: hoanthue-tncn.vip.
621,Tuyển dụng giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.44,0.4,"T1kt0k tuyen nh4n vien lam v13c tai nha. Thu nh4p 800.000đ/ngay. Th4o t4c don gi4n, nhan t13n s4u 15 phut. Lien he Zalo: zalo.me/84912345678 Zalo: 84912345678","T1kt0k tuyen nh4n vien lam v13c tai nha. Thu nh4p 800.000đ/ngay. Th4o t4c don gi4n, nhan tien s4u 15 phut. Lien he Zalo: zalo.me/84912345678 Zalo: 84912345678"
624,Tuyển dụng giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3636,0.3182,Tiki dang tuyen s0 luong l0n nh4n vien d4t hang n4ng thuy hang cua hang. Luy0n t4p kiem 800k/ngay. Tuoi 23-65. Zalo: 84945678901,Tiki dang tuyen so luong l0n nh4n vien d4t hang n4ng thuy hang cua hang. Luy0n t4p kiem 800k/ngay. Tuoi 23-65. Zalo: 84945678901
741,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.375,0.25,(QUY-BHTN) B4N_da-du D!EU K!EN nh4n T1EN h0~tro tu quy BH#TN. Nhan tai: mo.zxcvb.com. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! mN9v,(QUY-BHTN) B4N_da-du DIEU KIEN nh4n T1EN ho~tro tu quy BH#TN. Nhan tai: mo.zxcvb.com. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! mN9v
743,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.36,0.24,[H0-TRO-COV19] BAN^da~du D!EU*K!EN nh4n T1EN tu quy BH#TN. Bam vao www.uvwxy.icu de_nhan. QUA HAN SE KH0NG_DUOC CHAP NHAN! cD5t,[HO-TRO-COV19] BAN^da~du DIEU*KIEN nh4n T1EN tu quy BH#TN. Bam vao www.uvwxy.icu de_nhan. QUA HAN SE KH0NG_DUOC CHAP NHAN! cD5t
749,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3043,0.1739,H0 TRO COVID-19: Ong (Ba) da du d!eu k!en nhan t1en ho tro. Bam vao www.nbvca.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! nB4i,HO TRO COVID-19: Ong (Ba) da du dieu kien nhan t1en ho tro. Bam vao www.nbvca.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! nB4i
752,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2727,0.1818,BHXH: Ong (Ba) da du d!eu k!en nhan t1en tu quy BHTN. Bam vao www.jhgfd.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! mJ8u,BHXH: Ong (Ba) da du dieu kien nhan t1en tu quy BHTN. Bam vao www.jhgfd.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! mJ8u
