dataset,slice,row_with_leet_rate,leet_token_rate,mean_leet_density,special_char_row_rate,leet_token_rate_ci_low,leet_token_rate_ci_high
phase1,all,0.7210755538723727,0.09709766182337012,0.153107805228561,0.6939026699488733,0.14870617648637707,0.1578192071182402
phase1,label_1_all,0.8193437619229301,0.17672209026128266,0.26147712062387163,0.7685997710797405,0.2539547638743589,0.26905861078326454
phase1,label_1_synthetic_like,0.8244595676541233,0.18872426439943318,0.2700112465715688,0.767013610888711,0.2618984218230608,0.27736436826317545
phase1,label_1_real,0.7154471544715447,0.05251240025878801,0.08815804243405435,0.8008130081300813,0.07130901377276384,0.10509342693879983
phase1,label_0_synthetic_like,0.5115038346115371,0.0362382782704934,0.03844884356674227,0.4924974991663888,0.03679006615620377,0.04014369190582937
phase1,label_0_real,0.7699267557087462,0.05509056717755844,0.05650732040373372,0.7854373115036622,0.053753750676352074,0.059131137716268024
current,all,0.6365271728839235,0.047601396706339685,0.05443147246495505,0.6599128952849839,0.05270535314040305,0.05630513806874198
current,label_1_all,0.7272033574971385,0.049289797548615795,0.06807658849121927,0.7808088515833651,0.06519417761428685,0.07122051476460932
current,label_1_synthetic_like,0.7277822257806245,0.049091824432638674,0.0670877899183735,0.7798238590872698,0.06389462754671509,0.07003860790999086
current,label_1_real,0.7154471544715447,0.05251240025878801,0.08815804243405434,0.8008130081300813,0.07287057189051821,0.10459230852779423
current,label_0_synthetic_like,0.506006006006006,0.0359247634746088,0.038056488370467954,0.4824824824824825,0.036040557996925474,0.04008257134032674
current,label_0_real,0.571944611679711,0.04971764019293157,0.04274860672477092,0.5758579169175195,0.04051164639387748,0.04483348222277669
