epoch,train_loss,val_macro_f1,val_f1_label_1,val_recall_label_1
1,0.4595035931520295,0.8450578937479449,0.8176229508196722,0.7430167597765364
2,0.24371364738857537,0.9145159345078417,0.9092542677448338,0.9422718808193669
3,0.15057186154942764,0.9537875398669418,0.9481765834932822,0.9199255121042831
4,0.11799420965345282,0.956381808807145,0.9511961722488038,0.925512104283054
5,0.09556587837767183,0.9567967943658552,0.9538461538461539,0.9813780260707635
6,0.09288462146855238,0.9568347788108904,0.954177897574124,0.9888268156424581
7,0.0721752954679623,0.9770258432359252,0.9748369058713886,0.9739292364990689
8,0.06095617362543156,0.970089931958378,0.9666348903717826,0.9441340782122905
9,0.06522656343223755,0.9736136319759776,0.9710550887021475,0.9683426443202979
10,0.060294808656500096,0.9761631996784244,0.9738317757009346,0.9702048417132216
