epoch,train_loss,val_macro_f1,val_f1_label_1,val_recall_label_1
1,0.1862112476623484,0.8213092852371409,0.6666666666666666,0.6486486486486487
2,0.06967778430719461,0.8498692318917038,0.7252747252747253,0.8918918918918919
3,0.0570369776604431,0.856687673589082,0.7323943661971831,0.7027027027027027
4,0.052723316475749016,0.8755428039702233,0.7692307692307693,0.8108108108108109
5,0.04718039124937994,0.8701605589546424,0.759493670886076,0.8108108108108109
6,0.04407923828278269,0.8785906240668857,0.7764705882352941,0.8918918918918919
7,0.044494262896478176,0.8735583286065418,0.7674418604651163,0.8918918918918919
8,0.04131214939323919,0.891919191919192,0.8,0.8648648648648649
9,0.03844526882416436,0.8837293538104898,0.7857142857142857,0.8918918918918919
10,0.03880760193403278,0.911162487705808,0.8354430379746836,0.8918918918918919
11,0.03628140415198037,0.8943418583983411,0.8048780487804879,0.8918918918918919
12,0.035728084056505134,0.891919191919192,0.8,0.8648648648648649
