epoch,train_loss,val_macro_f1,val_f1_label_1,val_recall_label_1
1,0.26112048607319593,0.7977871697075902,0.6292134831460674,0.7567567567567568
2,0.0897828226110765,0.8243686868686869,0.675,0.7297297297297297
3,0.055907906498759985,0.786806854060019,0.6138613861386139,0.8378378378378378
4,0.04643959831446409,0.815868897596103,0.6578947368421053,0.6756756756756757
5,0.03534808437273439,0.833039983023131,0.691358024691358,0.7567567567567568
6,0.028803265844804367,0.811272115488983,0.6486486486486487,0.6486486486486487
7,0.03260874527040869,0.8340570719602978,0.6923076923076923,0.7297297297297297
8,0.02993276437544929,0.7977871697075902,0.6292134831460674,0.7567567567567568
9,0.02044078570491235,0.8229816600491586,0.6744186046511628,0.7837837837837838
10,0.01665946584710452,0.7978407557354925,0.631578947368421,0.8108108108108109
